StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;<10;<20;<30;<40;<50;<100;<150;<200;>=200;CallLengthRepartition;<10;<50;<100;<500;<1000;<5000;<10000;>=10000;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:19:19:194	1350595159.194083;00:00:00;00:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:19:19:194	1350595159.194459;2012-10-18	23:19:29:194	1350595169.194492;00:00:10;00:00:10;2;0.4;0.39972;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:203;00:00:00:203;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;4;;0;0;0;0;0;0;0;0;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:19:29:194	1350595169.194595;2012-10-18	23:19:39:197	1350595179.197120;00:00:10;00:00:20;2;0;0.1999;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:203;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;4;;0;0;0;0;0;0;0;0;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:19:39:197	1350595179.197219;2012-10-18	23:19:49:197	1350595189.197486;00:00:10;00:00:30;2;0;0.133289;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:203;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;4;;0;0;0;0;0;0;0;0;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:19:49:197	1350595189.197571;2012-10-18	23:19:59:198	1350595199.198490;00:00:10;00:00:40;2;0.4;0.199945;0;0;4;8;8;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;16;16;0;0;0;0;0;0;00:00:00:204;00:00:00:204;00:00:00:002;00:00:00:001;00:00:30:349;00:00:30:349;00:00:00:001;00:00:00:001;;0;0;0;0;0;0;0;0;8;;0;0;0;0;0;0;0;4;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:19:59:198	1350595199.198593;2012-10-18	23:20:09:200	1350595209.200493;00:00:10;00:00:50;2;0;0.159958;0;0;0;8;8;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;24;0;0;0;0;8;24;0;0;0;0;0;0;00:00:00:000;00:00:00:204;00:00:00:000;00:00:00:001;00:00:00:000;00:00:30:349;00:00:00:000;00:00:00:001;;0;0;0;0;0;0;0;0;8;;0;0;0;0;0;0;0;4;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:20:09:200	1350595209.200599;2012-10-18	23:20:19:201	1350595219.201489;00:00:10;00:01:00;2;0;0.133302;0;0;0;8;8;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;36;0;0;0;0;12;36;0;0;0;0;0;0;00:00:00:000;00:00:00:204;00:00:00:000;00:00:00:001;00:00:00:000;00:00:30:349;00:00:00:000;00:00:00:001;;0;0;0;0;0;0;0;0;8;;0;0;0;0;0;0;0;4;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:20:19:201	1350595219.201616;2012-10-18	23:20:29:202	1350595229.202491;00:00:10;00:01:10;2;0.4;0.171392;0;0;4;12;12;4;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;55;0;0;0;0;19;55;0;0;0;0;0;0;00:00:00:230;00:00:00:212;00:00:00:049;00:00:00:028;00:00:30:356;00:00:30:352;00:00:00:014;00:00:00:010;;0;0;0;0;0;0;0;0;12;;0;0;0;0;0;0;0;8;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:20:29:202	1350595229.202623;2012-10-18	23:20:39:203	1350595239.203489;00:00:10;00:01:20;2;0;0.14997;0;0;0;12;12;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;64;0;0;0;0;9;64;0;0;0;0;0;0;00:00:00:000;00:00:00:212;00:00:00:000;00:00:00:028;00:00:00:000;00:00:30:352;00:00:00:000;00:00:00:010;;0;0;0;0;0;0;0;0;12;;0;0;0;0;0;0;0;8;
2012-10-18	23:19:19:187	1350595159.187057;2012-10-18	23:20:39:203	1350595239.203591;2012-10-18	23:20:49:205	1350595249.205490;00:00:10;00:01:30;2;0;0.133307;0;0;0;12;12;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;75;0;0;0;0;11;75;0;0;0;0;0;0;00:00:00:000;00:00:00:212;00:00:00:000;00:00:00:028;00:00:00:000;00:00:30:352;00:00:00:000;00:00:00:010;;0;0;0;0;0;0;0;0;12;;0;0;0;0;0;0;0;8;
