StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;<10;<20;<30;<40;<50;<100;<150;<200;>=200;CallLengthRepartition;<10;<50;<100;<500;<1000;<5000;<10000;>=10000;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:55:40:740	1350586540.740365;00:00:00;00:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:55:40:740	1350586540.740664;2012-10-18	20:55:50:740	1350586550.740733;00:00:10;00:00:10;2;0.4;0.39972;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:203;00:00:00:203;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;4;;0;0;0;0;0;0;0;0;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:55:50:740	1350586550.740813;2012-10-18	20:56:00:742	1350586560.742738;00:00:10;00:00:20;2;0.29997;0.349843;0;0;3;7;7;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;12;12;0;0;0;0;0;0;00:00:00:303;00:00:00:246;00:00:00:000;00:00:00:053;00:00:10:266;00:00:10:266;00:00:00:029;00:00:00:029;;0;0;0;0;0;0;0;0;7;;0;0;0;0;0;0;0;3;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:56:00:742	1350586560.742848;2012-10-18	20:56:10:744	1350586570.744733;00:00:10;00:00:30;2;0.29997;0.333211;0;0;3;10;10;4;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;30;0;0;0;0;18;30;0;0;0;0;0;0;00:00:00:337;00:00:00:273;00:00:00:059;00:00:00:068;00:00:13:714;00:00:11:990;00:00:05:769;00:00:04:108;;0;0;0;0;0;0;0;0;10;;0;0;0;0;0;0;0;6;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:56:10:744	1350586570.744848;2012-10-18	20:56:20:745	1350586580.745748;00:00:10;00:00:40;2;0.2;0.29991;0;0;2;12;12;4;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;52;0;0;0;0;22;52;0;0;0;0;0;0;00:00:00:254;00:00:00:270;00:00:00:070;00:00:00:065;00:00:15:510;00:00:12:870;00:00:07:064;00:00:04:673;;0;0;0;0;0;0;0;0;12;;0;0;0;0;0;0;0;8;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:56:20:745	1350586580.745910;2012-10-18	20:56:30:747	1350586590.747739;00:00:10;00:00:50;2;0.19998;0.279922;0;0;2;14;14;4;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;77;0;0;0;0;25;77;0;0;0;0;0;0;00:00:00:305;00:00:00:275;00:00:00:001;00:00:00:061;00:00:20:536;00:00:14:403;00:00:00:045;00:00:05:238;;0;0;0;0;0;0;0;0;14;;0;0;0;0;0;0;0;10;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:56:30:747	1350586590.747840;2012-10-18	20:56:40:748	1350586600.748731;00:00:10;00:01:00;2;0.1;0.249938;0;0;1;15;15;4;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;92;0;0;0;0;15;92;0;0;0;0;0;0;00:00:00:203;00:00:00:270;00:00:00:000;00:00:00:062;00:00:20:412;00:00:14:949;2562047788015:12:55:808;00:00:05:289;;0;0;0;0;0;0;0;0;15;;0;0;0;0;0;0;0;11;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:56:40:748	1350586600.748841;2012-10-18	20:56:50:749	1350586610.749735;00:00:10;00:01:10;2;0.1;0.228519;0;0;1;16;16;4;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;107;0;0;0;0;15;107;0;0;0;0;0;0;00:00:00:303;00:00:00:272;00:00:00:000;00:00:00:060;00:00:30:453;00:00:16:241;2562047788015:12:55:808;00:00:06:742;;0;0;0;0;0;0;0;0;16;;0;0;0;0;0;0;0;12;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:56:50:749	1350586610.749842;2012-10-18	20:57:00:751	1350586620.751734;00:00:10;00:01:20;2;0.29997;0.237447;0;0;3;19;19;4;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;124;0;0;0;0;17;124;0;0;0;0;0;0;00:00:00:237;00:00:00:266;00:00:00:058;00:00:00:060;00:00:23:880;00:00:17:769;00:00:11:643;00:00:08:067;;0;0;0;0;0;0;0;0;19;;0;0;0;0;0;0;0;15;
2012-10-18	20:55:40:733	1350586540.733090;2012-10-18	20:57:00:751	1350586620.751830;2012-10-18	20:57:10:753	1350586630.753752;00:00:10;00:01:30;2;0.09999;0.222173;0;0;1;20;20;2;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;145;0;0;0;0;21;145;0;0;0;0;0;0;00:00:00:506;00:00:00:278;00:00:00:000;00:00:00:079;00:00:17:049;00:00:17:649;00:00:11:560;00:00:08:330;;0;0;0;0;0;0;0;0;20;;0;0;0;0;0;0;0;18;
