StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;<10;<20;<30;<40;<50;<100;<150;<200;>=200;CallLengthRepartition;<10;<50;<100;<500;<1000;<5000;<10000;>=10000;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:17:44:566	1350314264.566403;00:00:00;00:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:17:44:566	1350314264.566674;2012-10-15	17:17:54:567	1350314274.567907;00:00:10;00:00:10;2;0.39996;0.39972;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:232;00:00:00:232;00:00:00:053;00:00:00:053;00:00:00:000;00:00:00:000;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;0;4;;0;0;0;0;0;0;0;0;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:17:54:568	1350314274.568000;2012-10-15	17:18:04:568	1350314284.568908;00:00:10;00:00:20;2;0.2;0.29988;0;0;2;6;6;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;8;8;0;0;0;0;0;0;00:00:00:304;00:00:00:256;00:00:00:000;00:00:00:055;00:00:10:312;00:00:10:312;00:00:00:070;00:00:00:070;;0;0;0;0;0;0;0;0;6;;0;0;0;0;0;0;0;2;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:18:04:568	1350314284.568988;2012-10-15	17:18:14:570	1350314294.570909;00:00:10;00:00:30;2;0.19998;0.266578;0;0;2;8;8;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;20;0;0;0;0;12;20;0;0;0;0;0;0;00:00:00:354;00:00:00:280;00:00:00:070;00:00:00:070;00:00:15:337;00:00:12:824;00:00:07:045;00:00:04:996;;0;0;0;0;0;0;0;0;8;;0;0;0;0;0;0;0;4;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:18:14:570	1350314294.570999;2012-10-15	17:18:24:571	1350314304.571911;00:00:10;00:00:40;2;0.2;0.249931;0;0;2;10;10;4;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;38;0;0;0;0;18;38;0;0;0;0;0;0;00:00:00:254;00:00:00:275;00:00:00:070;00:00:00:067;00:00:25:439;00:00:17:029;00:00:07:012;00:00:08:200;;0;0;0;0;0;0;0;0;10;;0;0;0;0;0;0;0;6;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:18:24:571	1350314304.571986;2012-10-15	17:18:34:572	1350314314.572908;00:00:10;00:00:50;2;0.2;0.239942;0;0;2;12;12;4;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;58;0;0;0;0;20;58;0;0;0;0;0;0;00:00:00:304;00:00:00:280;00:00:00:000;00:00:00:061;00:00:20:569;00:00:17:914;00:00:00:045;00:00:07:121;;0;0;0;0;0;0;0;0;12;;0;0;0;0;0;0;0;8;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:18:34:572	1350314314.572986;2012-10-15	17:18:44:573	1350314324.573910;00:00:10;00:01:00;2;0.2;0.233283;0;0;2;14;14;4;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;76;0;0;0;0;18;76;0;0;0;0;0;0;00:00:00:356;00:00:00:291;00:00:00:072;00:00:00:066;00:00:10:424;00:00:16:416;00:00:00:031;00:00:07:030;;0;0;0;0;0;0;0;0;14;;0;0;0;0;0;0;0;10;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:18:44:574	1350314324.574008;2012-10-15	17:18:54:575	1350314334.575908;00:00:10;00:01:10;2;0.29997;0.242805;0;0;3;17;17;4;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;100;0;0;0;0;24;100;0;0;0;0;0;0;00:00:00:304;00:00:00:293;00:00:00:001;00:00:00:060;00:00:23:870;00:00:18:136;00:00:11:626;00:00:08:383;;0;0;0;0;0;0;0;0;17;;0;0;0;0;0;0;0;13;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:18:54:575	1350314334.575998;2012-10-15	17:19:04:577	1350314344.577914;00:00:10;00:01:20;2;0.19998;0.23745;0;0;2;19;19;4;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;121;0;0;0;0;21;121;0;0;0;0;0;0;00:00:00:253;00:00:00:289;00:00:00:070;00:00:00:060;00:00:10:420;00:00:17:107;00:00:00:091;00:00:08:222;;0;0;0;0;0;0;0;0;19;;0;0;0;0;0;0;0;15;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:19:04:577	1350314344.577994;2012-10-15	17:19:14:578	1350314354.578979;00:00:10;00:01:30;2;0.1;0.222178;0;0;1;20;20;3;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;143;0;0;0;0;22;143;0;0;0;0;0;0;00:00:00:203;00:00:00:284;00:00:00:000;00:00:00:061;00:00:20:608;00:00:17:519;00:00:14:437;00:00:08:575;;0;0;0;0;0;0;0;0;20;;0;0;0;0;0;0;0;17;
2012-10-15	17:17:44:560	1350314264.560687;2012-10-15	17:19:14:579	1350314354.579087;2012-10-15	17:19:24:581	1350314364.581795;00:00:10;00:01:40;2;0;0.199958;0;0;0;20;20;1;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;165;0;0;0;0;22;165;0;0;0;0;0;0;00:00:00:000;00:00:00:284;00:00:00:000;00:00:00:061;00:00:20:436;00:00:17:826;00:00:14:340;00:00:08:811;;0;0;0;0;0;0;0;0;20;;0;0;0;0;0;0;0;19;
